LSE InSchedule and NSPL Activity Summary
Customer Account:,Tidal Energy Marketing Inc.,Report Creation Timestamp (EPT):,03/26/2018 11:59:37 AM
Start Month:,"February, 2018",End Month:,"February, 2018"
4000.01,4000.02,4000.03,3002.01,3002.02,4000.07
Customer ID,Customer Code,Month,InSchedule Load In Multiple Zones (Y/N),NSPL In Multiple Zones (Y/N),Version
33232,CEAOH,"February, 2018",N,N,20180201.000
26667,CECBCL,"February, 2018",,N,20180201.000
35837,CECBFE,"February, 2018",N,,20180201.000
33214,CECBGA,"February, 2018",N,N,20180201.000
16948,CECBGE,"February, 2018",Y,Y,20180201.000
30193,CECBGW,"February, 2018",Y,N,20180201.000
30203,CECEI,"February, 2018",,N,20180201.000
20773,CECIC,"February, 2018",,N,20180201.000
22264,CECMPL,"February, 2018",N,N,20180201.000
22262,CECMPS,"February, 2018",N,N,20180201.000
22261,CECMX,"February, 2018",N,N,20180201.000
22263,CECMXP,"February, 2018",N,N,20180201.000
20774,CECOE,"February, 2018",,N,20180201.000
11987,CECPPB,"February, 2018",N,N,20180201.000
20775,CECTE,"February, 2018",,N,20180201.000
30702,CEDAY,"February, 2018",N,N,20180201.000
24152,CEDDPR,"February, 2018",N,N,20180201.000
25384,CEDEO,"February, 2018",N,N,20180201.000
11986,CEDPH,"February, 2018",N,N,20180201.000
626,CEDS,"February, 2018",Y,Y,20180201.000
29712,CEDSDO,"February, 2018",N,N,20180201.000
36069,CEFOH,"February, 2018",N,,20180201.000
33236,CENAOH,"February, 2018",N,N,20180201.000
30694,CENCEI,"February, 2018",,N,20180201.000
27047,CENDEO,"February, 2018",N,N,20180201.000
30693,CENOED,"February, 2018",,N,20180201.000
33289,CENSFE,"February, 2018",N,,20180201.000
26724,CENSTR,"February, 2018",N,N,20180201.000
30695,CENTED,"February, 2018",,N,20180201.000
30204,CEOE,"February, 2018",,N,20180201.000
34851,CESAA,"February, 2018",N,N,20180201.000
33239,CESAEP,"February, 2018",N,,20180201.000
35004,CESAJ,"February, 2018",N,N,20180201.000
34764,CESAL,"February, 2018",N,N,20180201.000
35003,CESAMR,"February, 2018",N,N,20180201.000
35751,CESFSA,"February, 2018",N,N,20180201.000
30205,CETE,"February, 2018",,N,20180201.000
7442,CHBDTE,"February, 2018",N,N,20180201.000
33242,CHMAOH,"February, 2018",N,N,20180201.000
30655,CHMDAY,"February, 2018",N,N,20180201.000
22929,CHMDEO,"February, 2018",N,N,20180201.000
37712,CHMFCE,"February, 2018",,N,20180201.000
35748,CHMFEO,"February, 2018",N,,20180201.000
35746,CHMFEX,"February, 2018",N,N,20180201.000
35747,CHMPCE,"February, 2018",N,N,20180201.000
26506,CHMPED,"February, 2018",N,N,20180201.000
20759,CHMPIC,"February, 2018",,N,20180201.000
