Monthly Billing Statement Recipients
Customer Account:,"Tidal Energy Marketing Inc.",Report Creation Timestamp (EPT):,03/26/2018 11:59:39 AM
02/01/2018,"American PowerNet Management, L.P. (PPL3)",APNPL3,19590
02/01/2018,"American PowerNet Management, L.P. (PPL4)",APNPL4,19591
02/01/2018,"American PowerNet Management, L.P. (PSEG)",APNPSE,16738
02/01/2018,"American PowerNet Management, L.P. (PSEG2)",APNPS2,26678
02/01/2018,"American PowerNet Management, L.P. (Penelec Gen)",APNSCI,43705
02/01/2018,"American PowerNet Management, L.P. (Penelec Load Acct 3)",APNPN3,44183
02/01/2018,"American PowerNet Management, L.P. (Penelec Load Acct 4)",APNPN4,44184
02/01/2018,"American PowerNet Management, L.P. (Penelec Load Acct 5)",APNPN5,44185
02/01/2018,"American PowerNet Management, L.P. (Penelec Load)",APNPN2,43704
02/01/2018,"American PowerNet Management, L.P. (Penelec Load_West Penn)",APNWP5,44186
02/01/2018,"American PowerNet Management, L.P. (R)",APNMRD,12583
02/01/2018,"American PowerNet Management, L.P. (Tansboro)",APNMT,11627
02/01/2018,"American PowerNet Management, L.P. (West Penn Power_Load)",APSPA3,39619
02/01/2018,"American Transmission Systems, Inc.",ATSI,6483
02/01/2018,"Amerigreen Energy, Inc. (MetEd)",AMGRME,24433
02/01/2018,"Amerigreen Energy, Inc. (PECO)",AMGRPE,21998
02/01/2018,"Amerigreen Energy, Inc. (PPL)",AMGRPL,21999
02/01/2018,"Ames Energy, LLC",AMESE,33920
02/01/2018,Apogee Energy Trading LLC,APOETR,39177
02/01/2018,Apogee Energy Trading LLC (FTR 1),APOFT1,40212
02/01/2018,Apogee Energy Trading LLC (FTR 2),APOFT2,40213
02/01/2018,Appalachian Power Company (AEP Gen DAY SSO 2),AEPDY2,41386
02/01/2018,Appalachian Power Company (AEP Gen) (Dayton P&L SSO),AEPDAY,33875
02/01/2018,Appalachian Power Company (AEP Gen) (Ohio WF),AEPOWF,39703
02/01/2018,Appalachian Power Company (AEP Gen) (Timber Road WF),AEPTBR,39704
02/01/2018,Appalachian Power Company (AEP Gen) (Wheeling Dedicated),AEPWPD,31981
02/01/2018,Appalachian Power Company (AEP Gen) (Wheeling Generation),AEPWPM,32207
02/01/2018,Appalachian Power Company (AEP Generation),AEPSCG,63
02/01/2018,Appalachian Power Company (AEP Transm_OH Power Residential),AEPOPR,33552
02/01/2018,Appalachian Power Company (AEP Transmission),AEPSCT,10842
02/01/2018,Appalachian Power Company (AEP Transmn_APCO Transmn),AEPAPT,32455
02/01/2018,Appalachian Power Company (AEP Transmn_I&M Power),AEPIMP,32456
02/01/2018,Appalachian Power Company (AEP Transmn_KY Power),AEPKPT,32457
02/01/2018,Appalachian Power Company (AEP Transmn_OH Power),AEPOPT,32458
02/01/2018,Appalachian Power Company (AEPGen_OVEC OH),AEPOVO,30760
02/01/2018,Appalachian Power Company (AEPSCO),AEPSCO,30570
02/01/2018,Appalachian Power Company (APCO Dedicated),AEPAPD,12406
02/01/2018,Appalachian Power Company (City of Auburn),AEPAUB,16617
02/01/2018,Appalachian Power Company (City of Westerville),AEPCOW,12224
02/01/2018,Appalachian Power Company (Duquesne Med Comm & Ind),AEPDMC,32290
02/01/2018,Appalachian Power Company (GEN_Big Sandy 1),AEPBS1,33386
02/01/2018,Appalachian Power Company (Gen_AEP Ohio Auction 1),AEPOH1,33202
02/01/2018,Appalachian Power Company (Gen_AEP Ohio Auction 2),AEPOH2,33203
02/01/2018,Appalachian Power Company (Gen_Duke E OH SSO 2),AEPDO2,33222
02/01/2018,Appalachian Power Company (Gen_Duquesne Res & Ltg 2),AEPDR2,33223
02/01/2018,Appalachian Power Company (Gen_Duquesne Small C&I),AEPDSC,41206
02/01/2018,Appalachian Power Company (IM Dedicated),AEPIMD,12405
02/01/2018,Appalachian Power Company (Kentucky Power Dedicated),AEPKPD,17528
02/01/2018,Appalachian Power Company (Ohio Dedicated),AEPOPD,16501
02/01/2018,"Appian Way Energy Partners MidAtlantic, LLC",AWEMID,32424
02/01/2018,Aquenergy Systems Inc.,AQNGY,12038
02/01/2018,Arc Private Capital Inc.,ARCPCI,43184
02/01/2018,ArcelorMittal USA LLC,ARCMIT,12425
02/01/2018,ArcelorMittal USA LLC (FE CEI Trans),ARCCET,26194
02/01/2018,ArcelorMittal USA LLC (FE OhioEd Trans),ARCOET,26193
02/01/2018,ArcelorMittal USA LLC (Warren Generating),ARCWAR,37823
02/01/2018,"Archer Energy, LLC (AEP Ohio)",ARCHAO,43824
02/01/2018,"Armenia Mountain Wind, LLC",AESAMW,16362
02/01/2018,"Aspen Generating, LLC",ASPNGN,43927
02/01/2018,"Associated Electric Cooperative, Inc.",APMM1,463
02/01/2018,Atlantic City Electric Company,AE,11
02/01/2018,Atlantic City Electric Company (CCLP),AECCLP,29705
02/01/2018,Atlantic City Electric Company (Covanta_DRMI),AEDRMI,29711
02/01/2018,Atlantic City Electric Company (LOGAN),AELOGN,29710
02/01/2018,Atlantic City Electric Company (NJ Net Energy Metering),ACENJN,29569
02/01/2018,"Atlantic Energy MD, LLC",ATLMD,34863
02/01/2018,"Atlantic Energy MD, LLC (Duke Energy)",AMDDUK,43892
02/01/2018,"Atlantic Energy MD, LLC (FE_CEI)",AMDFCE,38647
02/01/2018,"Atlantic Energy MD, LLC (FE_Ohio Edison)",AMDFOE,38645
02/01/2018,"Atlantic Energy MD, LLC (FE_Toledo Edison)",AMDFTE,38646
02/01/2018,"Automated Algorithms, LLC",AALGM,16951
02/01/2018,"Automated Algorithms, LLC (Account 2)",AALGM2,44402
02/01/2018,"Automated Algorithms, LLC (HBai)",AALGHB,31357
02/01/2018,"Automated Algorithms, LLC (WDevine)",AALGWD,31358
02/01/2018,"Avangrid Renewables, LLC",PPME,10937
02/01/2018,"Avangrid Renewables, LLC (Desert Wind)",DESWIN,37983
02/01/2018,BIF II Safe Harbor Holdings LLC,LSPSHH,20544
02/01/2018,BIF III Holtwood LLC,BIFHLT,34235
02/01/2018,"BJ Energy, LLC",BJE,11524
02/01/2018,BP Energy Company  (SFE MD),SFEEMD,29867
02/01/2018,BP Energy Company (AEP),BPAEP,32953
02/01/2018,BP Energy Company (Agera_AECO),AGEAE,33969
02/01/2018,BP Energy Company (Agera_AEP Ohio),AGEAOH,33221
02/01/2018,BP Energy Company (Agera_BGE),AGERBG,33755
02/01/2018,BP Energy Company (Agera_CE Illuminating),AGERCE,32334
02/01/2018,BP Energy Company (Agera_ComEd),AGECED,33756
02/01/2018,BP Energy Company (Agera_DPL),AGEDPL,33757
02/01/2018,BP Energy Company (Agera_DUQ),AGEDUQ,33758
02/01/2018,BP Energy Company (Agera_Dayton),AGERDA,32333
02/01/2018,BP Energy Company (Agera_Delmarva MD),AGEDMD,33970
02/01/2018,BP Energy Company (Agera_Duke Energy OH),AGERDO,32337
02/01/2018,BP Energy Company (Agera_EMe BIL),AMGMBL,34017
02/01/2018,BP Energy Company (Agera_FE MetEd),AGERME,32718
02/01/2018,BP Energy Company (Agera_FE OH),AGEFOH,33754
02/01/2018,BP Energy Company (Agera_FE Penelec),AGERPN,32717
02/01/2018,BP Energy Company (Agera_JCPL),AGERJC,33759
02/01/2018,BP Energy Company (Agera_Ohio Edison),AGEROE,32335
02/01/2018,BP Energy Company (Agera_PECO),AGERPE,33760
02/01/2018,BP Energy Company (Agera_PEPCO DC),AGEPDC,33972
02/01/2018,BP Energy Company (Agera_PEPCO MD),AGEPMD,33971
02/01/2018,BP Energy Company (Agera_PPL),AGERPL,33918
02/01/2018,BP Energy Company (Agera_PSEG),AGERPS,33762
02/01/2018,BP Energy Company (Agera_Penn Power),AGERPP,32656
02/01/2018,BP Energy Company (Agera_Potomac Edison),AGEPED,33761
02/01/2018,BP Energy Company (Agera_Rockland),AGERRE,33763
02/01/2018,BP Energy Company (Agera_Toledo Edison),AGERTE,32336
02/01/2018,BP Energy Company (Agera_UGI),AGEUGI,33764
02/01/2018,BP Energy Company (Agera_West Penn Power),AGERWP,32657
02/01/2018,BP Energy Company (Aggressive Energy LLC),AGRSV,32982
02/01/2018,BP Energy Company (BGS),BPBGS,10571
02/01/2018,BP Energy Company (BGS1),BPBGS1,29859
02/01/2018,BP Energy Company (BGS2),BPBGS2,39904
02/01/2018,BP Energy Company (CleanChoice MCPETH),MCPETH,30269
02/01/2018,BP Energy Company (CleanChoice_Duke),ETHDUK,30274
02/01/2018,BP Energy Company (CleanChoice_MedEd),ETHMET,30273
02/01/2018,BP Energy Company (CleanChoice_Penelec),ETHPLC,30271
02/01/2018,BP Energy Company (CleanChoice_Penn Power),ETHPPW,30270
02/01/2018,BP Energy Company (CleanChoice_West Penn),ETHWPN,30272
02/01/2018,BP Energy Company (Clearview - B),CLRVBI,41305
02/01/2018,BP Energy Company (Clearview DC),CLRVDC,29906
02/01/2018,BP Energy Company (Clearview Delaware),CLRVDE,29908
02/01/2018,BP Energy Company (Clearview Illinois),CLRVIL,29907
02/01/2018,BP Energy Company (Clearview Maryland),CLRVMD,29912
02/01/2018,BP Energy Company (Clearview New Jersey),CLRVNJ,29909
02/01/2018,BP Energy Company (Clearview Ohio),CLRVOH,29910
02/01/2018,BP Energy Company (Clearview Pennsylvania),CLRVPA,29911
02/01/2018,BP Energy Company (Clearview-AEP),CLRAEP,40203
